delta_id,commit,short_commit,subject,touched_files,guard_category,interface_impact,claim_risk,tests_required
G14A-DELTA-057,2b53c01452bde579f32a56b5f893de63f45844e2,2b53c01,Add trapezoid wall gap diagnostics,nodi_simulator/cross_section_geometry.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_cross_section_geometry.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-058,b8d18fce7530d499f5bb3bc5a0f87223149f7be5,b8d18fc,Require PRS sampler support signatures,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-059,8d96c9860ffef66621dc108c8771c48d8313cd63,8d96c98,Bind sampler support diagnostics in signatures,nodi_simulator/parameter_sweep.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_cross_section_geometry.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-060,628f5ce687e3d7f56b22691f302d87090df75d4e,628f5ce,Document sidewall sampler support oracle,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-061,08318f76d75509fff614059d738747f758bf5de6,08318f7,Emit sidewall sampler support status,nodi_simulator/utils.py;tests/test_cross_section_geometry.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-062,5916ba25e167107ecef5f9b469b69b7ef35db3fc,5916ba2,Add sidewall particle support slice oracle,nodi_simulator/cross_section_geometry.py;tests/test_cross_section_geometry.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-063,69e42e663e488d9ee9eac80933bfe017461e85ff,69e42e6,Document sidewall cache status hard fail,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-064,a8b054feebed1cb4f6e6a89bc17c0204353af82b,a8b054f,Reject old rectangular cache on propagated sidewall rows,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-065,cbc0ef6725538e61aa6a05375f3f41ea7949bb93,cbc0ef6,Document sidewall runtime signature guards,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-066,caf44620d8d6b049ef9996f2c217c9253faed2e2,caf4462,Include runtime guard models in sidewall signatures,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-067,18c70c16ac6f7a431b63ae55bd9ce2cf575f982f,18c70c1,Document refined sidewall v2 guardrails,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-068,66437e05b4675d97b4f2d688f7d05ec43db3b19f,66437e0,Refine sidewall v2 activation and signature binding,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-069,550b2bede8ed28a147816136d1713aada3e8b815,550b2be,Bind sidewall signatures to angle and radius,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-070,e6bd4e052a59149fa562d1783d11d8e6c2095db6,e6bd4e0,Update sidewall roadmap guardrail status,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-071,9d955e91c918ef0afc194abcf250fe8fa7947ae0,9d955e9,Bind sidewall cache signatures to row geometry,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-072,408c85f574bdafc74754470aef3d3a5a0da73372,408c85f,Expand sidewall forbidden claim guards,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-073,7511cf3757f971c143eabf300cb1fb8a10f38f9d,7511cf3,Require sidewall propagation scope in signatures,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-074,ab13547b0be9d4bbb06535fd29ce80af4d9af644,ab13547,Update sidewall roadmap guardrail progress,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-075,e48cd3deb2f49dafc1e16778144244313d208fa1,e48cd3d,Clarify sidewall geometry propagation scope,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-076,b0339779fa42922f47f5e48ed431c0c36be68675,b033977,Require PRS sidewall trajectory guard columns,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-077,004ae761fa70c5d8c5996418001d06a6abcc9f94,004ae76,Require sidewall source grain bindings,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,blocked_bin_or_grain_precheck_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-078,02a4eb2e059bb75c2fcb61b63d50c3246473f927,02a4eb2,Reject blocked Package D bindings on sidewall rows,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-079,aaf1ad610183c1389b2ae09e49ad597bf614bb97,aaf1ad6,Bind sidewall artifacts to Package D precheck,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-080,a7f900de27d4bed8ad44b97b7950dbe81751caca,a7f900d,Require sidewall runtime guard fields,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-081,2fdf30149997c6255d8c04abce8e297c2885369c,2fdf301,Require sidewall signature guard fragments,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-082,3ee4a1ed8b87c29ddf2a7b7527ab3d587dbcb720,3ee4a1e,Include fluidic network guards in observation signature,nodi_simulator/parameter_sweep.py;tests/test_cross_section_geometry.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-083,969f933e5176db068b32563d8efef561e51640cc,969f933,Include fluidic proxy guards in observation signature,nodi_simulator/parameter_sweep.py;tests/test_cross_section_geometry.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-084,0acd0933cbaaa0ba4750d97c21ba7808aa6e23d5,0acd093,Include electrokinetic geometry in observation signature,nodi_simulator/parameter_sweep.py;tests/test_cross_section_geometry.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-085,48ec0bf571e44fa9a3c2d7fdbf9a00dc44158589,48ec0bf,Clarify Gate12 COMSOL head baseline semantics,reports/322_NODI_COMSOL_GATE12J_CROSS_THREAD_PROVENANCE_LEDGER_20260629.md;reports/joint_interface_20260629/NODI_COMSOL_GATE12_SIDEWALL_CROSS_THREAD_PROVENANCE_LEDGER_20260629.csv;reports/joint_interface_20260629/NODI_COMSOL_GATE12_SIDEWALL_MANIFEST_20260629.csv;reports/joint_interface_20260629/NODI_COMSOL_GATE12_SIDEWALL_REPORT_20260629.json;reports/joint_interface_20260629/NODI_COMSOL_GATE13_SIDEWALL_CROSS_THREAD_PROVENANCE_LEDGER_20260629.csv;reports/joint_interface_20260629/NODI_COMSOL_GATE13_SIDEWALL_MANIFEST_20260629.csv;reports/joint_interface_20260629/NODI_COMSOL_GATE13_SIDEWALL_REPORT_20260629.json;reports/joint_interface_20260629/NODI_COMSOL_GATE13_SIDEWALL_STATUS_20260629.json;reports/joint_interface_20260629/NODI_COMSOL_GATE13_SIDEWALL_WORKTREE_RECONCILIATION_20260629.csv;tests/test_nodi_comsol_gate12_sidewall_addendum_release_candidate.py;tools/audits/build_nodi_comsol_gate12_sidewall_addendum_release_candidate.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
